userId,movieId,rating,action,adventure,animation,children's,comedy,crime,documentary,drama,fantasy,film-noir,horror,musical,mystery,romance,sci-fi,thriller,war,western
1,1,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,6,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,47,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,50,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3,31,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,21,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
4,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
4,45,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4,47,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,1,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,21,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
5,34,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,36,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5,39,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,50,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
